,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
6060,99701,2,4.0,308000,80,2,36,2,749,80,35,35620,0
1484,93995,3,4.0,208000,74,1,44,2,723,80,45,19100,0
1038,93429,1,3.875,260000,55,2,22,1,807,54,4,42200,0
11013,106046,1,3.75,146000,73,2,32,2,785,54,24,0,0
12631,108051,1,4.25,115000,80,2,43,1,673,54,51,48140,0
14451,110422,2,3.625,60000,30,1,39,1,823,0,4,40900,0
6734,100573,1,3.75,243000,80,2,34,2,724,54,38,38900,0
9117,103617,1,3.875,288000,80,2,38,1,792,54,4,0,0
7375,101421,1,3.5,190000,71,1,45,2,774,54,4,31080,0
10524,105415,1,4.125,262000,80,2,29,1,702,54,23,35660,0
