,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
13320,108940,3,3.5,125000,49,1,26,1,641,70,1,13820,0
3200,96131,2,4.0,150000,59,2,16,2,786,80,13,19780,0
12054,107324,1,3.5,333000,58,1,45,1,668,66,35,35620,0
67,92228,3,4.0,356000,80,2,33,2,724,45,32,35620,0
5689,99247,3,4.25,183000,80,1,42,1,779,37,24,33460,0
2798,95642,3,4.0,70000,70,1,42,1,690,54,51,0,0
1590,94137,2,3.75,200000,80,2,34,2,809,54,43,43620,0
8979,103437,3,3.75,210000,75,1,33,1,785,45,24,33460,0
13976,109811,2,4.25,293000,80,1,45,1,690,54,4,40140,0
1386,93871,1,3.875,287000,79,1,22,2,749,54,24,33460,0
