,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
13660,109393,2,3.49,192000,50,2,24,1,746,73,45,17780,0
10172,104950,1,3.75,98000,70,1,27,2,794,80,32,35620,0
2850,95701,2,3.875,290000,56,1,36,2,768,54,21,12580,0
12526,107922,1,4.75,86000,80,1,23,2,740,80,28,25860,1
9093,103583,1,4.5,198000,70,2,45,1,655,54,31,14460,0
10815,105785,2,3.875,387000,60,2,32,2,789,80,35,35620,0
4239,97402,1,4.375,82000,63,1,30,1,747,54,15,41180,1
9920,104613,1,3.625,176000,76,1,29,2,755,54,3,38060,0
3816,96899,1,5.0,67000,80,1,23,2,766,80,9,33100,0
11987,107240,3,3.5,173000,80,1,26,2,813,80,9,19660,0
