,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
11062,106112,2,3.5,343000,77,1,43,2,761,76,4,31080,0
3865,96962,3,4.625,181000,70,1,29,1,621,80,20,14460,0
6067,99712,2,3.75,410000,49,2,10,2,778,70,41,39300,0
8684,103073,1,3.625,200000,47,1,27,1,723,54,24,33460,0
14911,111033,1,3.17,262000,55,2,27,1,804,57,4,41740,0
14135,110021,3,3.5,73000,69,1,44,1,772,54,25,27900,0
10733,105678,3,3.625,253000,75,1,23,2,775,80,20,14460,0
9205,103730,3,4.0,360000,60,1,30,1,722,80,39,38300,0
6563,100351,3,3.875,169000,54,1,34,2,796,80,15,16980,0
14711,110757,3,3.5,322000,70,2,43,2,801,80,19,12940,0
