,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
12596,108009,1,3.875,125000,62,2,42,1,647,54,15,16980,0
3831,96915,1,4.125,212000,35,1,26,2,726,54,35,35620,0
9292,103835,2,3.875,132000,63,1,44,1,797,54,44,34980,0
3817,96900,3,4.0,315000,79,2,40,2,785,45,38,13460,0
6655,100460,1,4.105,152000,23,2,36,1,763,57,32,35620,0
2455,95215,3,3.875,373000,70,2,19,2,781,80,15,16980,0
6595,100386,3,4.375,241000,80,2,40,2,713,80,19,35380,0
915,93282,3,3.99,128000,80,1,37,2,727,54,39,39740,0
972,93349,3,4.0,154000,62,2,30,2,791,80,38,38900,0
10001,104724,1,3.625,90000,80,2,29,2,784,54,51,0,0
