,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
9893,104579,3,3.75,211000,80,2,37,1,736,54,51,0,0
7125,101077,3,3.75,225000,41,2,29,1,796,80,15,16980,0
574,92860,3,4.5,147000,80,2,42,2,752,54,51,27500,1
2335,95061,2,3.996,261000,57,1,15,2,778,27,4,41940,0
13111,108658,1,4.0,164000,75,1,37,1,682,54,34,0,0
715,93028,1,4.25,43000,79,1,43,1,675,54,44,32820,1
5839,99427,2,3.875,133000,24,2,43,2,812,80,4,31080,0
1580,94123,3,4.125,104000,80,2,43,2,724,45,13,26980,0
6795,100646,1,4.99,254000,64,2,35,1,627,66,4,44700,0
6164,99838,3,3.99,227000,75,1,46,1,747,45,20,49340,0
