,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
12656,108085,2,3.5,393000,73,2,30,2,776,0,4,41940,0
8485,102816,3,4.625,200000,77,1,45,1,646,80,47,47260,0
9102,103596,1,4.0,390000,70,1,37,1,721,54,9,27260,0
1663,94226,1,4.125,172000,58,1,36,2,737,54,4,31080,0
6221,99910,1,4.25,148000,80,2,26,1,816,54,36,15940,0
9763,104420,3,3.5,353000,29,1,24,2,756,37,47,47260,0
13373,109010,3,3.625,246000,57,1,43,2,664,70,4,31080,0
3514,96521,3,3.99,272000,80,2,35,2,746,80,15,16980,0
9972,104686,3,3.75,272000,64,1,45,2,793,45,4,31100,0
9556,104164,2,3.75,400000,55,2,42,2,774,70,20,14460,0
