,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
13157,108725,1,3.625,178000,70,2,32,2,688,54,5,14500,0
9555,104163,1,3.75,174000,52,1,36,1,818,57,35,0,0
6616,100409,1,4.0,160000,42,1,36,2,808,54,4,42220,0
15040,111192,2,3.5,265000,80,2,33,2,688,70,46,0,0
3511,96516,3,4.125,52000,31,1,36,1,676,27,34,39900,0
5765,99338,3,3.75,240000,80,1,44,2,713,80,45,26420,0
4692,97986,1,4.99,169000,69,2,36,2,649,66,49,0,0
7756,101877,3,3.625,101000,71,1,19,2,713,45,1,46220,0
11241,106325,1,4.0,85000,54,1,44,2,638,54,0,11260,0
1420,93917,3,3.875,403000,62,2,44,2,726,80,4,40900,0
