,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
5485,98994,3,4.25,89000,79,2,33,2,718,54,31,0,0
2766,95604,2,3.875,392000,70,2,22,2,766,80,5,0,0
14595,110605,3,3.5,335000,63,2,16,2,724,80,42,17900,0
2166,94854,2,3.75,297000,32,2,34,2,770,80,20,14460,0
8875,103304,3,4.25,89000,80,1,41,2,708,80,16,26900,1
14562,110567,2,3.625,240000,54,2,36,2,800,29,47,47900,0
1620,94177,3,4.375,84000,60,1,21,1,703,29,30,24260,0
13519,109206,1,4.0,320000,80,2,38,1,783,54,18,31140,0
7154,101119,3,4.125,130000,75,1,24,2,791,29,39,38300,0
4193,97346,1,5.25,368000,80,1,30,1,660,66,3,38060,0
